CVE-2023-46219,8.0.1,8.5.0,libcurl,Curl_fopen,Curl_fopen
CVE-2023-46218,8.0.1,8.5.0,libcurl,Curl_cookie_add,Curl_cookie_add
CVE-2023-38546,8.0.1,8.4.0,libcurl,curl_easy_duphandle,curl_easy_duphandle
CVE-2023-38546,8.0.1,8.4.0,libcurl,Curl_cookie_add,Curl_cookie_add
CVE-2023-38546,8.0.1,8.4.0,libcurl,Curl_cookie_init,Curl_cookie_init
CVE-2023-38546,8.0.1,8.4.0,libcurl,Curl_cookie_cleanup,Curl_cookie_cleanup
CVE-2023-38545,8.0.1,8.4.0,libcurl,socks_proxy_cf_connect,socks_proxy_cf_connect
CVE-2023-38545,8.0.1,8.4.0,libcurl,do_SOCKS5,do_SOCKS5
CVE-2023-38039,8.0.1,8.3.0,libcurl,Curl_bump_headersize,Curl_bump_headersize
CVE-2023-38039,8.0.1,8.3.0,libcurl,Curl_http_readwrite_headers,Curl_http_readwrite_headers
CVE-2023-38039,8.0.1,8.3.0,libcurl,Curl_pp_readresp,Curl_pp_readresp
CVE-2023-28322,8.0.1,8.1.0,libcurl,ftp_state_prepare_transfer,ftp_state_prepare_transfer
CVE-2023-28322,8.0.1,8.1.0,libcurl,ftp_done,ftp_done
CVE-2023-28322,8.0.1,8.1.0,libcurl,ftp_do_more,ftp_do_more
CVE-2023-28322,8.0.1,8.1.0,libcurl,ftp_parse_url_path,ftp_parse_url_path
CVE-2023-28322,8.0.1,8.1.0,libcurl,Curl_http_method,Curl_http_method
CVE-2023-28322,8.0.1,8.1.0,libcurl,Curl_http_body,Curl_http_body
CVE-2023-28322,8.0.1,8.1.0,libcurl,rtsp_do,rtsp_do
CVE-2023-28322,8.0.1,8.1.0,libcurl,imap_done,imap_done
CVE-2023-28322,8.0.1,8.1.0,libcurl,Curl_vsetopt,Curl_vsetopt
CVE-2023-28322,8.0.1,8.1.0,libcurl,smtp_done,smtp_done
CVE-2023-28322,8.0.1,8.1.0,libcurl,tftp_send_first,tftp_send_first
CVE-2023-28322,8.0.1,8.1.0,libcurl,Curl_init_CONNECT,Curl_init_CONNECT
CVE-2023-28322,8.0.1,8.1.0,libcurl,Curl_follow,Curl_follow
CVE-2023-28322,8.0.1,8.1.0,libcurl,Curl_retry_request,Curl_retry_request
CVE-2023-28322,8.0.1,8.1.0,libcurl,file_connect,file_connect
CVE-2023-28322,8.0.1,8.1.0,libcurl,file_do,file_do
CVE-2023-28321,8.0.1,8.1.0,libcurl,Curl_cert_hostcheck,Curl_cert_hostcheck
CVE-2023-28320,8.0.1,8.1.0,libcurl,Curl_resolv_timeout,Curl_resolv_timeout
CVE-2023-28319,8.0.1,8.1.0,libcurl,ssh_statemach_act,ssh_statemach_act
