CVE-2021-3517,2.9.11,xmlEncodeEntitiesInternal
CVE-2019-20388,2.9.11,xmlSchemaPreRun
CVE-2020-7595,2.9.11,xmlStringLenDecodeEntities
CVE-2021-3518,2.9.11,xmlXIncludeDoProcess
CVE-2022-23308,2.9.13,xmlValidateAttributeValue2
CVE-2022-23308,2.9.13,xmlRemoveID
CVE-2022-23308,2.9.13,nodeVPop
CVE-2022-23308,2.9.13,xmlAddID
CVE-2022-23308,2.9.13,xmlDumpNotationTable
CVE-2022-23308,2.9.13,xmlAddRef
CVE-2022-23308,2.9.13,xmlValidCtxtNormalizeAttributeValue
CVE-2022-23308,2.9.13,xmlValidNormalizeAttributeValue
CVE-2021-3541,2.9.11,xmlParserEntityCheck
CVE-2021-3541,2.9.11,xmlParsePEReference
CVE-2020-24977,2.9.10,xmlHTMLEncodeSend
CVE-2022-29824,2.9.14,xmlBufPtr
CVE-2022-29824,2.9.14,xmlBufCreateSize
CVE-2022-29824,2.9.14,xmlBufCat
CVE-2022-29824,2.9.14,xmlBufAdd
CVE-2022-29824,2.9.14,xmlBufResize
CVE-2022-29824,2.9.14,xmlBufGrowInternal
CVE-2022-29824,2.9.14,xmlBufferShrink
CVE-2022-29824,2.9.14,xmlBufIsEmpty
CVE-2022-29824,2.9.14,xmlBufResize
CVE-2022-29824,2.9.14,xmlBufferCat
CVE-2022-29824,2.9.14,xmlBufferAdd
CVE-2021-3537,2.9.11,xmlParseElementChildrenContentDeclPriv
